username,precision@40,recall@40
FDE_Valais,0.0,0.0
GangoGames,0.0,0.0
Muuvit,0.0,0.0
wildtreetech,0.0,0.0
kolabnow,0.0,0.0
dexlab_io,0.0,0.0
ipaster,0.0,0.0
Securitas_CH,0.0,0.0
immostreet_ch,0.0,0.0
threatray,0.0,0.0
encuentra24,0.0,0.0
AnjariumBio,0.0,0.0
GoodX_Network,0.0,0.0
TinamuLabs,0.0,0.0
magarental,0.0,0.0
theground_up,0.0,0.0
tradeyourmind,0.0,0.0
searchch,0.0,0.0
Still_active,0.0,0.0
Archilogic3D,0.0,0.0
palisis,0.0,0.0
HaYaTherapx,0.0,0.0
pi_investing,0.0,0.0
schockguyan,0.0,0.0
konvink,0.025,0.0
ImmoDigest,0.0,0.0
1DropDx,0.0,0.0
montemedia,0.0,0.0
CtrlMovieLtd,0.0,0.0
reinigung_ch,0.0,0.0
customweb_gmbh,0.0,0.0
jackwarddd,0.0,0.0
AudioP_AG,0.0,0.0
datumnetwork,0.0,0.0
Boldomatic,0.025,0.0
smartwall_ai,0.0,0.0
causal_sarl,0.025,0.0
teambookapp,0.025,0.0
k_expert,0.0,0.0
pixmeo,0.0,0.0
data_xl,0.0,0.0
BhFSolutions,0.0,0.0
unibern,0.0,0.0
unil,0.0,0.0
Gennymobility,0.0,0.0
YoupiJob,0.0,0.0
yaler,0.0,0.0
peakhunterapp,0.025,0.0
energiedienst,0.0,0.0
theGICHD,0.0,0.0
wevenzapp,0.0,0.0
kickshops,0.0,0.0
smartcardia,0.0,0.0
MOOST_IoT,0.0,0.0
termin2go,0.0,0.0
noidentityApps,0.0,0.0
CellecBiotekAG,0.0,0.0
vaping_post,0.0,0.0
scaling4good,0.05,0.0
HYLOMORPH,0.0,0.0
luckabox,0.025,0.0
aid_coin,0.0,0.0
Advisay,0.0,0.0
gokcenkaran,0.0,0.0
scottsports,0.0,0.0
sirenltd,0.0,0.0
popup_office,0.0,0.0
hslu,0.0,0.0
Med_Writers,0.0,0.0
mysmartme,0.0,0.0
FEMTOprint,0.0,0.0
abioniv,0.025,0.0
Idezo_CH,0.0,0.0
be_cashCH,0.0,0.0
younergy,0.0,0.0
suisseo,0.0,0.0
factionskis,0.0,0.0
DISCOIO,0.0,0.0
martinopia,0.0,0.0
rinspeed,0.0,0.0
MagmaLearning,0.0,0.0
insightnesscorp,0.0,0.0
zigzagzurich,0.0,0.0
accesspac,0.0,0.0
welante,0.0,0.0
ipexchange1,0.0,0.0
mrcleanonline,0.0,0.0
voltex_io,0.0,0.0
BardiCredit,0.0,0.0
deliverdotmedia,0.0,0.0
SignaTerre,0.0,0.0
BeeUpBusiness,0.0,0.0
reederapp,0.05,0.0
tvpsolar,0.0,0.0
totemi_app,0.0,0.0
carygreene,0.0,0.0
talent4gig,0.0,0.0
twiice_official,0.0,0.0
christopheandco,0.0,0.0
RigiTech,0.0,0.0
classicdriver,0.0,0.0
localch,0.0,0.0
myoswiss,0.0,0.0
Lean_LAA,0.0,0.0
yerrasolutions,0.0,0.0
MedisanteGroup,0.0,0.0
ConcordiumNet,0.0,0.0
DACSYSTEM1,0.0,0.0
HighlandEurope,0.0,0.0
advertima,0.05,0.0
