username,precision@40,recall@40
wildtreetech,0.025,0.0
ipaster,0.025,0.0
encuentra24,0.0,0.0
GoodX_Network,0.0,0.0
TinamuLabs,0.0,0.0
tradeyourmind,0.0,0.0
searchch,0.0,0.0
Still_active,0.025,0.0
Archilogic3D,0.0,0.0
HaYaTherapx,0.0,0.0
konvink,0.0,0.0
ImmoDigest,0.0,0.0
1DropDx,0.0,0.0
montemedia,0.0,0.0
datumnetwork,0.0,0.0
teambookapp,0.025,0.0
Gennymobility,0.0,0.0
yaler,0.0,0.0
smartcardia,0.0,0.0
MOOST_IoT,0.0,0.0
CellecBiotekAG,0.0,0.0
vaping_post,0.0,0.0
scaling4good,0.0,0.0
HYLOMORPH,0.025,0.0
aid_coin,0.0,0.0
scottsports,0.0,0.0
sirenltd,0.0,0.0
popup_office,0.0,0.0
Idezo_CH,0.0,0.0
younergy,0.0,0.0
martinopia,0.0,0.0
rinspeed,0.05,0.0
insightnesscorp,0.0,0.0
ipexchange1,0.0,0.0
mrcleanonline,0.0,0.0
reederapp,0.025,0.0
tvpsolar,0.0,0.0
totemi_app,0.025,0.0
twiice_official,0.0,0.0
christopheandco,0.0,0.0
RigiTech,0.0,0.0
localch,0.0,0.0
myoswiss,0.0,0.0
yerrasolutions,0.0,0.0
HighlandEurope,0.025,0.0
PWRstation,0.0,0.0
newsroomz,0.0,0.0
newsroomz,0.0,0.0
_taskbase,0.0,0.0
auxivo,0.0,0.0
DomoSafety,0.0,0.0
FairVoyage,0.025,0.0
cvcoin_ico,0.0,0.0
CashSentinel,0.0,0.0
TheAppBrain,0.075,0.0
pikciochainpkc,0.0,0.0
produkte24_com,0.0,0.0
optotunecompany,0.05,0.0
MSDirectAG,0.0,0.0
rovenso_ch,0.0,0.0
anecova,0.025,0.0
papersDev,0.0,0.0
cry_cash,0.0,0.0
kaywa,0.0,0.0
textshuttle,0.025,0.0
oncetheapp,0.025,0.0
instapdf,0.075,0.0
fronttrail,0.0,0.0
appculture_ag,0.075,0.0
xenialabintl,0.0,0.0
SwissSensoryx,0.025,0.0
hystrixmedical,0.0,0.0
creditworld_ag,0.0,0.0
michaelfrei10,0.0,0.0
getavrios,0.025,0.0
getavrios,0.025,0.0
crowdli_ch,0.0,0.0
MibelleGroup,0.0,0.0
InsolightTech,0.0,0.0
InsolightTech,0.0,0.0
anibis_ch,0.0,0.0
zipch,0.025,0.0
ecal_ch,0.025,0.0
cooala,0.1,0.0
ncloudswiss,0.0,0.0
Karmagenes,0.075,0.0
aktiiaGlobal,0.0,0.0
FHaptics,0.0,0.0
TRB_Intl,0.0,0.0
AmphiroAG,0.0,0.0
EffRx,0.0,0.0
Hguitare,0.125,0.0
Qboys_app,0.0,0.0
KeyCDN,0.0,0.0
iccube,0.0,0.0
synendos,0.0,0.0
kandoubus,0.0,0.0
xhtml,0.075,0.0
openwt,0.0,0.0
aelertech,0.025,0.0
mt_sarl,0.0,0.0
StabletonAG,0.0,0.0
lessoptics,0.0,0.0
ImburseAG,0.075,0.0
tutti_ch,0.0,0.0
somoskiwi,0.025,0.0
parquery,0.0,0.0
theelectricfeel,0.0,0.0
teamstryber,0.0,0.0
FlonSolutions,0.05,0.0
artanim_mocap,0.0,0.0
carpathia_ch,0.0,0.0
sunbioscience,0.0,0.0
AmbergGroup,0.05,0.0
BPA_SOLUTIONS,0.0,0.0
DBSSystem,0.0,0.0
expertsolch,0.125,0.0
we_gaw,0.05,0.0
Epteca,0.025,0.0
senstech,0.025,0.0
levuro_com,0.05,0.0
urovant,0.0,0.0
tindecofs,0.0,0.0
app_socialease,0.05,0.0
artionet,0.0,0.0
ATAG_aviation,0.025,0.0
vzug,0.0,0.0
carbondelta,0.0,0.0
Vidinoti,0.0,0.0
blockchainsrc,0.0,0.0
Flybotix_,0.0,0.0
noonee_cc,0.0,0.0
propal_z,0.025,0.0
lamobiliere,0.025,0.0
tripmodeCH,0.0,0.0
teralytics,0.0,0.0
PrimeurWorld,0.0,0.0
StrayFawnStudio,0.025,0.0
AnivoInsurance,0.0,0.0
Avosoundsfx,0.0,0.0
pharmabiome,0.0,0.0
Palexpo,0.0,0.0
profaxverlag,0.0,0.0
creditgate24,0.025,0.0
Embiontech,0.0,0.0
dizmos,0.175,0.0
rewardoTeam,0.0,0.0
Raizers,0.0,0.0
zattoo_tvaas,0.0,0.0
GIANTSSoftware,0.0,0.0
wuestpartner,0.025,0.0
axonvibe,0.05,0.0
Klewel,0.025,0.0
amanoxsolutions,0.0,0.0
enigma_swiss,0.0,0.0
Nagibioscience,0.125,0.0
ibani_change,0.0,0.0
ticketpark,0.0,0.0
PredictiveLayer,0.0,0.0
DavNetwork,0.0,0.0
DavNetwork,0.0,0.0
beaconsmind,0.0,0.0
56kCloud,0.075,0.0
CoopleUK,0.0,0.0
CoopleUK,0.0,0.0
ecollect,0.0,0.0
DigitalCluesAG,0.025,0.0
parx,0.0,0.0
imito_ag,0.0,0.0
arviemAG,0.0,0.0
AkselosCAE,0.05,0.0
CytalkTelephony,0.0,0.0
Fotokite_,0.05,0.0
myesmart,0.0,0.0
eaternity,0.0,0.0
QACube,0.125,0.0
nomoko_world,0.0,0.0
AAndrewAlliance,0.0,0.0
iazzudotcom,0.0,0.0
blockstate_com,0.0,0.0
SwissQualiQuest,0.05,0.0
meyerburger,0.025,0.0
DataphoneAG,0.0,0.0
heigvd,0.0,0.0
e_locations,0.025,0.0
GamayaNews,0.025,0.0
_TransCure,0.0,0.0
CyanoGuard,0.0,0.0
appswithlove,0.075,0.0
KITRO_FoodWaste,0.025,0.0
turicode,0.05,0.0
atpointag,0.075,0.0
skybow,0.0,0.0
securaxis,0.05,0.0
brixel_hq,0.025,0.0
baloise_jobs,0.0,0.0
divio,0.0,0.0
divio,0.0,0.0
colenditoken,0.025,0.0
CITSensMeMo,0.0,0.0
ethereum,0.05,0.0
_inivation,0.025,0.0
rusadasoftware,0.0,0.0
crowdhouse_ch,0.0,0.0
tpg_com,0.025,0.0
AgileWindPower,0.0,0.0
alogoanalysis,0.0,0.0
anybotics,0.0,0.0
BarixAG,0.0,0.0
mibexsoftware,0.05,0.0
geopraevent,0.0,0.0
secutix,0.0,0.0
scala_lang,0.075,0.0
Ammann_Group,0.025,0.0
falconpb,0.2,0.0
wincansoftware,0.0,0.0
PowerCodersHQ,0.0,0.0
ec_zurich,0.0,0.0
diemobiliar,0.0,0.0
diemobiliar,0.0,0.0
rethinkcircular,0.025,0.0
DECENTplatform,0.0,0.0
tradeplus24,0.0,0.0
teserakt_io,0.0,0.0
SIMoreDualsim,0.025,0.0
MyTechnis,0.025,0.0
MyTechnis,0.025,0.0
Ellisys1,0.05,0.0
venbona_English,0.0,0.0
LinumLabs,0.025,0.0
bluecodepayment,0.0,0.0
instimatch,0.0,0.0
mammut,0.125,0.0
UEFAcom,0.0,0.0
enersissuisse,0.0,0.0
Skope_MRI,0.0,0.0
Polytech_VC,0.075,0.0
zkipster,0.0,0.0
liquiditynet,0.0,0.0
ScanTrust,0.0,0.0
msg_global,0.0,0.0
sofiesgroup,0.0,0.0
myWatchAdvisor,0.0,0.0
emeraldVC,0.05,0.0
ricardo_ch,0.0,0.0
bitforge,0.125,0.0
annanow,0.0,0.0
annanow,0.025,0.0
LargoUpdates,0.05,0.0
GenLots,0.0,0.0
sonectme,0.025,0.0
marcpbernegger,0.175,0.0
leuchterits,0.0,0.0
panterch,0.0,0.0
PureValueMetric,0.0,0.0
decentlab,0.075,0.0
modum_io,0.0,0.0
UNBBCom,0.0,0.0
compasssecurity,0.0,0.0
Creapole,0.025,0.0
