,username,precision@40,recall@40
0,blockstate_com,0.025,0.125
1,TeylorAG,0.0,0.0
2,auxivo,0.0,0.0
3,amanoxsolutions,0.15,0.021428571428571432
4,BSI_Software,0.375,0.030737704918032783
5,FeriGruppe,0.2,0.013071895424836602
6,thorchain_org,0.0,0.0
7,instimatch,0.0,0.0
8,TinamuLabs,0.3,0.015748031496062992
9,grstiftung_ch,0.05,0.007220216606498195
10,parx,0.075,0.03157894736842105
11,zattoo_tvaas,0.0,0.0
12,creoptix,0.325,0.02264808362369338
13,neon_accountapp,0.225,0.012448132780082987
14,_TransCure,0.075,0.006198347107438018
15,annanow,0.025,0.015873015873015872
16,annanow,0.125,0.015873015873015872
17,turicode,0.125,0.010917030567685587
18,nymproject,0.025,0.014705882352941175
19,RigiTech,0.125,0.023809523809523808
20,StabletonAG,0.15,0.02469135802469136
21,TheAppBrain,0.3,0.015267175572519085
22,DavNetwork,0.125,0.045871559633027525
23,DavNetwork,0.0,0.0
24,Flybotix_,0.175,0.03825136612021858
25,beyond_animal,0.0,0.0
26,ConsulcesiTech,0.0,0.0
27,fronttrail,0.05,0.009708737864077669
28,KeyCDN,0.025,0.012048192771084338
29,camptocamp,0.0,0.0
30,DataphoneAG,0.0,0.0
31,synendos,0.175,0.022950819672131147
32,_inivation,0.2,0.011661807580174929
33,dizmos,0.4,0.017543859649122806
34,kizytracking,0.425,0.018065887353878853
35,CytalkTelephony,0.025,0.007936507936507936
36,lombardodier,0.075,0.01485148514851485
37,Frontify,0.075,0.009708737864077669
38,msg_global,0.175,0.016786570743405275
39,teambookapp,0.225,0.013953488372093023
40,impacthubzurich,0.05,0.00966183574879227
41,Archilogic3D,0.05,0.02298850574712644
42,scala_lang,0.325,0.015795868772782502
43,hes_so,0.0,0.0
44,produkte24_com,0.0,0.0
45,trekksoft,0.0,0.0
46,yerrasolutions,0.125,0.02369668246445497
47,immuniweb,0.05,0.008583690987124462
48,netcommsuisse,0.025,0.00847457627118644
49,GreaterZurich,0.025,0.003048780487804878
50,Epteca,0.175,0.01715686274509804
51,Avaloq,0.225,0.01517706576728499
52,fontself,0.0,0.0
53,senstech,0.175,0.01417004048582996
54,FlonSolutions,0.275,0.017488076311605722
55,Klewel,0.05,0.01
56,sixgroup,0.05,0.005208333333333333
57,Faircustomer,0.025,0.005917159763313609
58,MSF_USA,0.075,0.028571428571428567
59,IECStandards,0.125,0.026455026455026454
60,encuentra24,0.0,0.0
61,liip,0.475,0.020408163265306117
62,zhdk,0.05,0.011695906432748536
63,straumann,0.45,0.022528160200250308
64,straumann,0.0,0.0
65,magnolia_cms,0.175,0.02456140350877193
66,kaywa,0.075,0.03333333333333333
67,Idezo_CH,0.175,0.014830508474576272
68,anibis_ch,0.0,0.0
69,lastminute_com,0.375,0.02369668246445497
70,BPA_SOLUTIONS,0.0,0.0
71,marcpbernegger,0.675,0.02887700534759358
72,ec_zurich,0.0,0.0
73,martinopia,0.025,0.018518518518518517
74,GlionNews,0.275,0.015850144092219017
75,axonvibe,0.275,0.0171875
76,mammut,0.275,0.011969532100108813
77,mimacom,0.075,0.024
78,ticketpark,0.225,0.026392961876832845
79,appswithlove,0.6,0.024489795918367342
80,iccube,0.0,0.0
81,georgfischer,0.075,0.008264462809917356
82,carpathia_ch,0.075,0.0234375
83,Plesk,0.0,0.0
84,Empa_CH,0.15,0.02985074626865672
85,amazeelabs,0.475,0.026874115983026883
86,Novartis,0.075,0.03296703296703297
87,Creapole,0.225,0.010101010101010102
88,FN_Press,0.0,0.0
89,Syngenta,0.025,0.02127659574468085
90,biognosys,0.125,0.021739130434782608
91,WABCO,0.35,0.025044722719141325
92,WABCO,0.075,0.01694915254237288
93,michaelfrei10,0.0,0.0
94,vzug,0.025,0.006756756756756757
95,DigitalCluesAG,0.1,0.015810276679841896
96,localch,0.0,0.0
97,ricardo_ch,0.0,0.0
98,xenialabintl,0.05,0.02247191011235955
99,searchch,0.0,0.0
100,ecollect,0.0,0.0
101,ProtonMail,0.0,0.0
102,sixsq,0.1,0.022857142857142857
103,ScanTrust,0.075,0.014018691588785048
104,divio,0.0,0.0
105,divio,0.0,0.0
106,Temenos,0.0,0.0
107,redalpine,0.025,0.016666666666666666
108,janzzjobs,0.25,0.013513513513513514
109,Roche,0.05,0.007220216606498195
110,Roche,0.1,0.011396011396011395
111,Roche,0.15,0.024
112,iA,0.3,0.01907790143084261
113,teralytics,0.425,0.014529914529914532
114,MCI_Group,0.25,0.01893939393939394
115,coop_ch,0.025,0.013888888888888888
116,Gallus_Group,0.05,0.008733624454148471
117,atpointag,0.425,0.023129251700680267
118,noonee_cc,0.0,0.0
119,netguardians,0.0,0.0
120,Horyou,0.025,0.010638297872340424
121,getavrios,0.425,0.023287671232876717
122,getavrios,0.1,0.013793103448275862
123,yaler,0.05,0.015748031496062992
124,swissq,0.4,0.0248062015503876
125,BarixAG,0.0,0.0
126,AmphiroAG,0.025,0.007575757575757577
127,dbiservices,0.575,0.024312896405919663
128,zkipster,0.075,0.023809523809523808
129,xeitgmbh,0.4,0.017543859649122806
130,paper_li,0.075,0.014492753623188406
131,secutix,0.0,0.0
132,Blickch,0.075,0.004769475357710652
133,fintoolinfo,0.075,0.0625
134,baculasystems,0.65,0.04133545310015898
135,ethereum,0.5,0.024067388688327317
136,infrontsports,0.225,0.013432835820895522
137,LEGOfoundation,0.275,0.01170212765957447
138,EffRx,0.025,0.025
139,Ethicalgmbh,0.15,0.03333333333333333
140,Raizers,0.125,0.02145922746781116
141,1DropDx,0.0,0.0
142,emeraldVC,0.2,0.012718600953895072
143,leuchterits,0.025,0.004444444444444445
144,securosys,0.0,0.0
145,tradeyourmind,0.025,0.009174311926605505
146,Karmagenes,0.3,0.013714285714285714
147,openupresources,0.3,0.025
148,pix4d,0.4,0.017241379310344827
149,Palexpo,0.05,0.016
150,mrcleanonline,0.0,0.0
151,mibexsoftware,0.1,0.013793103448275862
152,fly_ability,0.1,0.032786885245901634
153,farmyCH,0.025,0.013513513513513514
154,Fongit1,0.175,0.012216404886561954
